submatrix,d_env,env_sd_mc,cauchy,trait_sds,env_sd_lh,recruitment,dispersal,age_crit,mass_crit,clustering,dispersion,gradient,runtime,extinct,nind,S,index
1,0.3515625,5.5914062499999995,11.57734375,0.3203125,4.34375,3.515625,5.078125,11.2421875,9.4609375,0.4296875,0.9453125,random,43.12279191017151,FALSE,254278,431,1089
A,4.53125,6.596875,16.440625,0.34375,1.125,7.1875,9.6875,11.09375,18.21875,0.21875,0.84375,random,85.03848496278127,FALSE,423345,446,109
1,0.3515625,5.5914062499999995,11.57734375,0.3203125,4.34375,3.515625,5.078125,11.2421875,9.4609375,0.4296875,0.9453125,clustered,46.70829074382782,FALSE,253750,441,1090
1,0.3515625,5.5914062499999995,11.57734375,0.3203125,4.34375,3.515625,5.078125,11.2421875,9.4609375,0.4296875,0.9453125,correlated,41.565354498227435,FALSE,253376,440,1091
1,0.3515625,5.5914062499999995,11.57734375,0.3203125,4.34375,3.515625,5.078125,11.2421875,9.4609375,0.4296875,0.9453125,linear,44.57062874635061,FALSE,252782,437,1092
1,2.8515625,0.64140625,24.02734375,0.8203125,2.34375,8.515625,0.078125,1.7421875,18.9609375,0.9296875,0.4453125,random,57.709628121058145,FALSE,518251,450,1093
1,2.8515625,0.64140625,24.02734375,0.8203125,2.34375,8.515625,0.078125,1.7421875,18.9609375,0.9296875,0.4453125,clustered,63.43868871132533,FALSE,517824,450,1094
1,2.8515625,0.64140625,24.02734375,0.8203125,2.34375,8.515625,0.078125,1.7421875,18.9609375,0.9296875,0.4453125,correlated,85.36100203990937,FALSE,518482,450,1095
1,2.8515625,0.64140625,24.02734375,0.8203125,2.34375,8.515625,0.078125,1.7421875,18.9609375,0.9296875,0.4453125,linear,60.86098359028498,FALSE,517379,450,1096
1,4.1015625,3.1164062500000003,17.802343750000002,0.0703125,3.34375,1.015625,7.578125,6.4921875,4.7109375,0.6796875,0.1953125,random,17.75375804503759,FALSE,164541,450,1097
1,4.1015625,3.1164062500000003,17.802343750000002,0.0703125,3.34375,1.015625,7.578125,6.4921875,4.7109375,0.6796875,0.1953125,clustered,18.590510447820026,FALSE,163616,450,1098
1,4.1015625,3.1164062500000003,17.802343750000002,0.0703125,3.34375,1.015625,7.578125,6.4921875,4.7109375,0.6796875,0.1953125,correlated,18.01633869012197,FALSE,162671,450,1099
A,1.25,7.525,18.775,0.25,2,2.5,2.5,15.25,5.75,0.75,0.75,correlated,47.19083370367686,FALSE,236471,439,11
A,4.53125,6.596875,16.440625,0.34375,1.125,7.1875,9.6875,11.09375,18.21875,0.21875,0.84375,clustered,81.86880111694336,FALSE,422807,446,110
1,4.1015625,3.1164062500000003,17.802343750000002,0.0703125,3.34375,1.015625,7.578125,6.4921875,4.7109375,0.6796875,0.1953125,linear,18.65278478860855,FALSE,164521,450,1100
1,1.6015625,8.06640625,5.352343749999999,0.5703125,1.34375,6.015625,2.578125,15.9921875,14.2109375,0.1796875,0.6953125,random,84.7823581735293,FALSE,362717,274,1101
1,1.6015625,8.06640625,5.352343749999999,0.5703125,1.34375,6.015625,2.578125,15.9921875,14.2109375,0.1796875,0.6953125,clustered,81.4593312939008,FALSE,361538,295,1102
1,1.6015625,8.06640625,5.352343749999999,0.5703125,1.34375,6.015625,2.578125,15.9921875,14.2109375,0.1796875,0.6953125,correlated,81.90276367664337,FALSE,363345,276,1103
1,1.6015625,8.06640625,5.352343749999999,0.5703125,1.34375,6.015625,2.578125,15.9921875,14.2109375,0.1796875,0.6953125,linear,91.47499729792277,FALSE,362054,290,1104
1,0.9765625,1.87890625,8.46484375,0.4453125,1.84375,9.765625,1.328125,13.6171875,16.5859375,0.8046875,0.5703125,random,115.89879566033682,FALSE,552905,450,1105
1,0.9765625,1.87890625,8.46484375,0.4453125,1.84375,9.765625,1.328125,13.6171875,16.5859375,0.8046875,0.5703125,clustered,126.65396824280421,FALSE,553891,450,1106
1,0.9765625,1.87890625,8.46484375,0.4453125,1.84375,9.765625,1.328125,13.6171875,16.5859375,0.8046875,0.5703125,correlated,148.52303144931793,FALSE,553054,450,1107
1,0.9765625,1.87890625,8.46484375,0.4453125,1.84375,9.765625,1.328125,13.6171875,16.5859375,0.8046875,0.5703125,linear,114.42757617632547,FALSE,552194,450,1108
1,3.4765625,6.82890625,20.91484375,0.9453125,3.84375,4.765625,6.328125,4.1171875,7.0859375,0.3046875,0.0703125,random,40.120927242438,FALSE,331519,449,1109
A,4.53125,6.596875,16.440625,0.34375,1.125,7.1875,9.6875,11.09375,18.21875,0.21875,0.84375,correlated,81.45390512943268,FALSE,423421,446,111
1,3.4765625,6.82890625,20.91484375,0.9453125,3.84375,4.765625,6.328125,4.1171875,7.0859375,0.3046875,0.0703125,clustered,38.93390052715937,FALSE,331529,449,1110
1,3.4765625,6.82890625,20.91484375,0.9453125,3.84375,4.765625,6.328125,4.1171875,7.0859375,0.3046875,0.0703125,correlated,39.71652897993724,FALSE,332471,449,1111
1,3.4765625,6.82890625,20.91484375,0.9453125,3.84375,4.765625,6.328125,4.1171875,7.0859375,0.3046875,0.0703125,linear,40.65668374697368,FALSE,332987,450,1112
1,4.7265625,9.30390625,14.68984375,0.1953125,2.84375,7.265625,3.828125,8.8671875,11.8359375,0.0546875,0.3203125,random,79.05078299442927,FALSE,439583,424,1113
1,4.7265625,9.30390625,14.68984375,0.1953125,2.84375,7.265625,3.828125,8.8671875,11.8359375,0.0546875,0.3203125,clustered,74.30117052396139,FALSE,439307,432,1114
1,4.7265625,9.30390625,14.68984375,0.1953125,2.84375,7.265625,3.828125,8.8671875,11.8359375,0.0546875,0.3203125,correlated,81.94020988543828,FALSE,439124,428,1115
1,4.7265625,9.30390625,14.68984375,0.1953125,2.84375,7.265625,3.828125,8.8671875,11.8359375,0.0546875,0.3203125,linear,70.31666725079218,FALSE,438461,421,1116
